EAN	COD. INVENTARIO	COD. COMERCIAL	DESCRIPCION	EAN	EMPRESA	MARCA	MERCADO	NEGOCIO	CATEGORIA CALIDAD	TIPO FABRICACION	TIPO MERCADO
03030050137798	3QMSAR	943QMSAR	SECADOR DE CABELLO - 3QMSAR	03030050137798	NEW SAN S.A.	CONAIR	RETAIL	CUIDADO FEMENINO	PRIMERA	CBU	SA
07796962900436	4HR3UTGA	944HR3UTGAARZ	BLISTER BATERIAS RECARG. SANYO	07796962900436	NEW SAN S.A.	SANYO	RETAIL	BATERÍAS & CARGADORES	PRIMERA	CBU	PROPIA
07796962900443	4HR4UTGA	944HR4UTGAARZ	BLISTER BATERIAS RECARG. SANYO	07796962900443	NEW SAN S.A.	SANYO	RETAIL	BATERÍAS & CARGADORES	PRIMERA	CBU	PROPIA
07796962822059	8T001AR	948T001AR	TABLET COMPAQ 8¨ 8T001AR	07796962822059	NEW SAN S.A.	COMPAQ	RETAIL	TABLET	PRIMERA	CBU	PROPIA
04210201072614	10B	9410BF	SERIES 1  CONSUMIBLES BRAUN	04210201072614	NEW SAN S.A.	BRAUN	RETAIL	CUIDADO MASCULINO	PRIMERA	CBU	SA
04210201072614	10BN	9410BN	SERIES 1  CONSUMIBLES BRAUN	04210201072614	NEW SAN S.A.	BRAUN	RETAIL	CUIDADO MASCULINO	PRIMERA	CBU	PROPIA
07796962103691	10T001AR	9410T001AR	TABLET COMPAQ 10¨ 10T001AR	07796962103691	NEW SAN S.A.	COMPAQ	RETAIL	TABLET	PRIMERA	CBU	PROPIA
04210201072645	11B	9411BF	SERIES 1 CONSUMIBLES BRAUN	04210201072645	NEW SAN S.A.	BRAUN	RETAIL	CUIDADO MASCULINO	PRIMERA	CBU	SA
04210201072645	11BN	9411BN	SERIES 1 CONSUMIBLES BRAUN	04210201072645	NEW SAN S.A.	BRAUN	RETAIL	CUIDADO MASCULINO	PRIMERA	CBU	PROPIA
07796962606598	14TC659	9114TC659	TV COLOR 14" MONOAURAL NOBLEX	07796962606598	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796923606599	14TC659X	9114TC659XF	TV COLOR 14" MONOAURAL NOBLEX	07796923606599	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	SA
07796923267158	14TC669	9114TC669	TV COLOR 14" MONO NOBLEX	07796923267158	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606819	14TC681	9114TC681	TV COLOR 14" MONO NOBLEX	07796962606819	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962150138	15N003AR	9115N003AR	NOTEBOOK COMPAQ PRESARIO 15N003AR 15,6¨	07796962150138	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962150350	15N005AR	9115N005AR	NOTEBOOK COMPAQ PRESARIO 15N005AR 15,6¨	07796962150350	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962601913	19LC826H	9119LC826H	LCD 19"  HD NOBLEX	07796962601913	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07790653054699	19M35ANS	9119M35ANS	Monitor LED LG 19"	07790653054699	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07790653057027	19M38A	9119M38A	Monitor LED LG 19"	07790653057027	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07798083389091	20M35DNS	9120M35DNS	Monitor LG 20"	07798083389091	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07790653057409	20M38H	9120M38H	Monitor LED LG 20"	07790653057409	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07796923300619	20MR61	9120MR61F	MICROONDAS NOBLEX 20 L. ROTATI	07796923300619	NEW SAN S.A.	NOBLEX	RETAIL	MWO	PRIMERA	CKD	SA
04210201072676	20S	9420SF	CRUZER  CONSUMIBLES BRAUN	04210201072676	NEW SAN S.A.	BRAUN	RETAIL	CUIDADO MASCULINO	|	CBU	SA
-	20SN	9420SN	CRUZER  CONSUMIBLES BRAUN	-	NEW SAN S.A.	BRAUN	RETAIL	CUIDADO MASCULINO	PRIMERA	CBU	PROPIA
07796962606604	20TC660	9120TC660	TV COLOR 20" MONOAURAL NOBLEX	07796962606604	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796923606605	20TC660X	9120TC660XF	TV COLOR 20" MONOAURAL NOBLEX	07796923606605	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	SA
